ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
49;1867 г.;1867;24 Д. Городские доходы Доходы и расходы городов против;
50;1866 г.;1866;24 Д. Городские доходы Доходы и расходы городов против;
51;7 января 1863 г.;1863-01-07;24 Д. Городские доходы Доходы и расходы городов против;
52;1866 г.;1866;24 Д. Городские доходы Доходы и расходы городов против;
53;1866 г.;1866;24 Д. Городские доходы Доходы и расходы городов против;
54;11 июля 1863 г.;1863-07-11;24 Д. Городские доходы Доходы и расходы городов против;
55;1866 г.;1866;24 Д. Городские доходы Доходы и расходы городов против;
56;1866 г.;1866;24 Д. Городские доходы Доходы и расходы городов против;
57;7 февраля 1861 г.;1861-02-07;24 Д. Городские доходы Доходы и расходы городов против;
58;20 января 1865 г.;1865-01-20;24 Д. Городские доходы Доходы и расходы городов против;
59;1866 г.;1866;25 III. ОБЩЕСТВЕННОЕ БЛАГОУСТРОЙСТВОIII. ОБЩЕСТВЕННОЕ БЛАГОУСТРОЙСТВО А. Казенные здания В губернии ;
60;24 августа 1866 г.;1866-08-24;25 III. ОБЩЕСТВЕННОЕ БЛАГОУСТРОЙСТВОIII. ОБЩЕСТВЕННОЕ БЛАГОУСТРОЙСТВО А. Казенные здания В губернии ;
61;17 января 1866 г.;1866-01-17;25 III. ОБЩЕСТВЕННОЕ БЛАГОУСТРОЙСТВОIII. ОБЩЕСТВЕННОЕ БЛАГОУСТРОЙСТВО А. Казенные здания В губернии ;
62;1866 г.;1866;26 В. Почта Почтовых станций в;
63;1866 г.;1866;26 В. Почта Почтовых станций в;
64;1866 г.;1866;26 В. Почта Почтовых станций в;
65;1865 г.;1865;26 В. Почта Почтовых станций в;
66;1866 г.;1866;26 В. Почта Почтовых станций в;
67;1865 г.;1865;26 В. Почта Почтовых станций в;
68;1866 г.;1866;26 В. Почта Почтовых станций в;
69;1866 г.;1866;27 57 116 душ, и перечисленные в казаки штрафованные нижние чины, влияние последних чрезвычайно пагу;
70;1866 г.;1866;27 57 116 душ, и перечисленные в казаки штрафованные нижние чины, влияние последних чрезвычайно пагу;
71;1866 г.;1866;27 57 116 душ, и перечисленные в казаки штрафованные нижние чины, влияние последних чрезвычайно пагу;
72;1866 г.;1866;"28 б) простого звания — 97 м.; прибыло по воле — 3 ж. 4. В работу: а) ссыльнокаторжных в";
73;1866 г.;1866;"28 б) простого звания — 97 м.; прибыло по воле — 3 ж. 4. В работу: а) ссыльнокаторжных в";
74;1866 г.;1866;"28 б) простого звания — 97 м.; прибыло по воле — 3 ж. 4. В работу: а) ссыльнокаторжных в";
75;1866 г.;1866;"29  пенсионом — 8;  находятся на казенном содержании — 59;  у родственников — 336. Всего: 1 782. ";
76;1862 г.;1862;30 По судебным приговорам содержалось и под арестом 199 мужчин и 32 женщины, всего 231 человек. Пред;
77;1868 г.;1868;30 По судебным приговорам содержалось и под арестом 199 мужчин и 32 женщины, всего 231 человек. Пред;
78;1868 г.;1868;30 По судебным приговорам содержалось и под арестом 199 мужчин и 32 женщины, всего 231 человек. Пред;
79;1864 г.;1864;30 По судебным приговорам содержалось и под арестом 199 мужчин и 32 женщины, всего 231 человек. Пред;
80;1866 г.;1866;30 По судебным приговорам содержалось и под арестом 199 мужчин и 32 женщины, всего 231 человек. Пред;
81;9 декабря 1865 г.;1865-12-09;30 По судебным приговорам содержалось и под арестом 199 мужчин и 32 женщины, всего 231 человек. Пред;
82;1866 г.;1866;31 П. Этапы Этапных помещений 8 и устроенных для ночлегов арестантских партий 10. Предположенные к п;
83;1 февраля 1866 г.;1866-02-01;31 П. Этапы Этапных помещений 8 и устроенных для ночлегов арестантских партий 10. Предположенные к п;
84;1866 г.;1866;31 П. Этапы Этапных помещений 8 и устроенных для ночлегов арестантских партий 10. Предположенные к п;
85;1866 г.;1866;31 П. Этапы Этапных помещений 8 и устроенных для ночлегов арестантских партий 10. Предположенные к п;
86;1866 г.;1866;32 В том числе:  в губернском;
87;1866 г.;1866;32 В том числе:  в губернском;
88;1866 г.;1866;32 В том числе:  в губернском;
89;1866 г.;1866;32 В том числе:  в губернском;
90;1865 г.;1865;32 В том числе:  в губернском;
91;16 июня 1865 г.;1865-06-16;32 В том числе:  в губернском;
92;1866 г.;1866;33 Г. Заразительные болезни С самой ранней весны, когда не было еще возможности переправиться через ;
93;1866 г.;1866;33 Г. Заразительные болезни С самой ранней весны, когда не было еще возможности переправиться через ;
94;1866 г.;1866;34 скота был в;
95;1867 г.;1867;34 скота был в;
96;1866 г.;1866;34 скота был в;
97;1865 г.;1865;34 скота был в;
98;1866 г.;1866;34 скота был в;
99;26 октября 1863 г.;1863-10-26;35 _______________ (х) Представлено г-ну Министру внутренних дел;
100;11 ноября 1866 г.;1866-11-11;35 _______________ (х) Представлено г-ну Министру внутренних дел;
101;1866 г.;1866;35 _______________ (х) Представлено г-ну Министру внутренних дел;
102;1866 г.;1866;35 _______________ (х) Представлено г-ну Министру внутренних дел;
103;1 января 1866 г.;1866-01-01;35 _______________ (х) Представлено г-ну Министру внутренних дел;
104;1866 г.;1866;36 В. Богадельни Находящиеся в;
105;1866 г.;1866;36 В. Богадельни Находящиеся в;
106;4 апреля 1866 г.;1866-04-04;36 В. Богадельни Находящиеся в;
107;1864 г.;1864;36 В. Богадельни Находящиеся в;
108;1865 г.;1865;36 В. Богадельни Находящиеся в;
109;1865 г.;1865;38 Число заведений Число учащихся муж. жен. В станицах: Дрокинской Мининской Бугачевской Торгашинско;
110;1866 г.;1866;38 Число заведений Число учащихся муж. жен. В станицах: Дрокинской Мининской Бугачевской Торгашинско;
